epoch,train_loss,val_acc,val_f1,test_acc,test_f1,noisy_test_acc,noisy_test_f1
1,1.902151894569397,0.21940928270042195,0.05140879881364311,0.21940928270042195,0.05140879881364311,0.21940928270042195,0.05140879881364311
2,1.877782392501831,0.21518987341772153,0.050595238095238096,0.21940928270042195,0.05140879881364311,0.21940928270042195,0.05140879881364311
3,1.8765835603078207,0.21940928270042195,0.05140879881364311,0.21940928270042195,0.05140879881364311,0.21940928270042195,0.05140879881364311
4,1.87702214717865,0.3080168776371308,0.12641723356009069,0.29535864978902954,0.12009746923753577,0.25738396624472576,0.10461264797889958
5,1.8742623726526897,0.2109704641350211,0.07514781613580011,0.2109704641350211,0.07720193340494093,0.24472573839662448,0.09702372761406751
6,1.8740782737731934,0.18565400843881857,0.05650600665798235,0.189873417721519,0.06412507038521413,0.19831223628691982,0.06933842929890661
7,1.868784785270691,0.21518987341772153,0.07578968117084707,0.20675105485232068,0.07463531187122736,0.20253164556962025,0.07459803770483382
8,1.869342041015625,0.21518987341772153,0.050595238095238096,0.21940928270042195,0.052313883299798795,0.21940928270042195,0.051767048282727726
9,1.8687157154083252,0.21518987341772153,0.07573891625615763,0.20675105485232068,0.0745029794863682,0.21940928270042195,0.10479972349959442
10,1.8725512504577637,0.25316455696202533,0.1074129036817186,0.25316455696202533,0.10492876395841355,0.25738396624472576,0.10935359322456097
11,1.8666642427444458,0.189873417721519,0.05706237091132903,0.189873417721519,0.06382189239332096,0.19831223628691982,0.06774125156861509
12,1.8592783371607462,0.2911392405063291,0.1655045485473179,0.2616033755274262,0.1370902181056079,0.26582278481012656,0.14592359135506344
13,1.8542604525883992,0.27848101265822783,0.12148513636921231,0.2616033755274262,0.11466767711241839,0.2742616033755274,0.12652964895955549
14,1.8457310279210408,0.2869198312236287,0.1491576898553643,0.270042194092827,0.13807211328267552,0.28270042194092826,0.1506104156203383
15,1.8388467311859131,0.25316455696202533,0.13572041024418666,0.25316455696202533,0.1341890973470625,0.28270042194092826,0.1558693599488679
16,1.8529960234959921,0.189873417721519,0.05981174788514238,0.189873417721519,0.06404285048905449,0.20253164556962025,0.07175973680495987
17,1.8422531604766845,0.2869198312236287,0.14936633414894285,0.2616033755274262,0.13087899014245544,0.27848101265822783,0.14576116568203495
18,1.8418857018152872,0.3755274261603376,0.2060782283928064,0.34177215189873417,0.1818611374481247,0.29957805907172996,0.16065947838955777
19,1.828726021448771,0.32489451476793246,0.17561121669446028,0.3206751054852321,0.1710209589908838,0.29535864978902954,0.15847557628415646
20,1.8347448587417603,0.3291139240506329,0.16908279006669932,0.2911392405063291,0.13743518960910264,0.29957805907172996,0.1564007340404315
21,1.8332064549128215,0.3206751054852321,0.16624252357948008,0.29535864978902954,0.14366353742458998,0.29957805907172996,0.15685878747103238
22,1.8417664051055909,0.270042194092827,0.11809146735617324,0.26582278481012656,0.11732120338677716,0.2869198312236287,0.13923430462550965
23,1.857176168759664,0.26582278481012656,0.1156673292959179,0.25738396624472576,0.10865457294028723,0.25738396624472576,0.10790669945599521
