epoch,train_loss,val_acc,val_f1,test_acc,test_f1
1,1.9113019011741461,0.26582278481012656,0.11761913802923864,0.24472573839662448,0.10470588235294118
2,1.8034767605537592,0.270042194092827,0.1345899470899471,0.25316455696202533,0.14109005075113815
3,1.7808276941609937,0.20253164556962025,0.13681300210139596,0.19831223628691982,0.13575126807982812
4,1.734248818353165,0.2742616033755274,0.16402015262364483,0.27848101265822783,0.16733893557422969
5,1.6483280769614286,0.2616033755274262,0.19917495144265923,0.31223628691983124,0.24579164253973865
6,1.56712072394615,0.4472573839662447,0.315984917295735,0.45569620253164556,0.34030406507728994
7,1.4714711377787035,0.4177215189873418,0.2691787201467511,0.39662447257383965,0.2737323614726758
8,1.4421451812566712,0.37130801687763715,0.2907314891904228,0.35443037974683544,0.2960178749098805
9,1.4324093059051868,0.459915611814346,0.31590124516563745,0.4978902953586498,0.37293525705212954
10,1.3906215346136759,0.5021097046413502,0.372318361035955,0.5189873417721519,0.38706496005197305
11,1.379547027654426,0.45569620253164556,0.30918876474320933,0.4641350210970464,0.32741534521300386
12,1.3630382377047872,0.510548523206751,0.349578802448982,0.5611814345991561,0.40857022243327995
13,1.3409645002941752,0.4641350210970464,0.36030207456169727,0.5147679324894515,0.4082177591502921
14,1.3506406961485398,0.4767932489451477,0.3741019022930136,0.4767932489451477,0.3992429363312979
15,1.343756351360055,0.5147679324894515,0.3955263938220602,0.5569620253164557,0.4585789270508612
16,1.298670765965484,0.4936708860759494,0.3877086577602929,0.4978902953586498,0.41524962609424715
17,1.324322500894236,0.48945147679324896,0.35039595995668743,0.5316455696202531,0.4225644869047268
18,1.3087883633236552,0.5063291139240507,0.39701714429572477,0.540084388185654,0.44279781275242636
19,1.310534815455592,0.510548523206751,0.38640452237601525,0.5569620253164557,0.45067174263366744
20,1.2799553898877876,0.5274261603375527,0.39308528962736344,0.5443037974683544,0.4310805995641607
21,1.3018147169157517,0.510548523206751,0.40659495984498234,0.5569620253164557,0.4759617438373199
22,1.2846177234206089,0.5316455696202531,0.42836181675467394,0.5654008438818565,0.47432049036987495
23,1.279732110888459,0.48945147679324896,0.370670592306407,0.5443037974683544,0.4524517689394166
24,1.272978147795034,0.5021097046413502,0.3856479445469977,0.5527426160337553,0.45603529998914255
25,1.2934107974518176,0.47257383966244726,0.38766431619050074,0.5189873417721519,0.45150192263762984
26,1.260363498399424,0.5063291139240507,0.4023117887008475,0.5569620253164557,0.47145087277780673
27,1.2570081810618556,0.5147679324894515,0.41866686106331186,0.540084388185654,0.4551378639425656
28,1.2541833894197332,0.5358649789029536,0.43332378995345383,0.6160337552742616,0.5411089206047205
29,1.277849599372509,0.5189873417721519,0.41632782413773123,0.5780590717299579,0.49806380267454214
30,1.2563356161117554,0.5147679324894515,0.4132338460696669,0.5822784810126582,0.4969439954816109
31,1.2245547216992045,0.5232067510548524,0.42535653068528706,0.5780590717299579,0.49867173676172155
32,1.2385592377463053,0.5316455696202531,0.42601796816287496,0.6033755274261603,0.5135390161886962
33,1.241905181906944,0.46835443037974683,0.38613944652233245,0.5274261603375527,0.4564775694385691
